Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-February-2018,880.00,897.95,872.10,892.75,885.501489997378219244,1041277,17149,922052335.00,478704,45.97,25.85,12.75
5-February-2018,895.80,912.00,882.70,904.45,901.194372355977592920,386485,8805,348298107.00,115066,29.77,29.30,8.65
2-February-2018,938.70,943.25,903.00,905.70,917.489698307579102281,701244,13805,643384146.00,286344,40.83,40.25,-33.00
1-February-2018,964.40,971.25,938.20,944.10,951.972532136793596895,758632,9362,722196826.00,110955,14.63,33.05,-20.30
31-January-2018,950.00,964.90,942.00,961.15,958.798679391417356945,457062,5985,438230442.00,247419,54.13,22.90,11.15
30-January-2018,964.00,964.30,945.55,949.25,953.632642475101438583,694016,5373,661836312.00,479586,69.10,18.75,-14.75
29-January-2018,966.00,976.55,960.10,963.80,968.734805281791216151,418040,5161,404969898.00,250039,59.81,16.45,-2.20
25-January-2018,970.00,971.45,957.25,964.55,964.439822165766910130,421966,7960,406960814.00,224015,53.09,14.20,-5.45
24-January-2018,981.90,981.90,960.50,964.55,967.336634739241755729,441731,7404,427302579.00,181756,41.15,21.40,-17.35
23-January-2018,975.00,990.00,975.00,981.70,983.912499159952509315,669605,10836,658832729.00,204445,30.53,15.00,6.70
22-January-2018,948.50,974.50,940.10,971.20,956.786534343777167141,1773742,22829,1697092461.00,732409,41.29,34.40,22.70
19-January-2018,922.00,932.35,922.00,929.35,927.024905015482351451,600361,6794,556549599.00,276910,46.12,10.35,7.35
18-January-2018,930.00,930.00,911.00,919.30,922.301679810925971418,354147,5722,326630373.00,136623,38.58,19.00,-10.70
17-January-2018,925.00,928.65,908.00,924.65,921.685043587829267818,360307,6212,332089573.00,87789,24.37,20.65,-0.35
16-January-2018,949.00,949.00,920.00,923.50,931.125068844086918789,479344,19943,446329215.00,190272,39.69,29.00,-25.50
15-January-2018,950.20,957.55,945.20,947.60,951.120200997352816365,445379,6628,423608964.00,220399,49.49,12.35,-2.60
12-January-2018,942.00,951.85,938.10,946.75,945.658365376392049408,596333,6957,563927290.00,288418,48.37,13.75,4.75
11-January-2018,941.75,942.75,935.00,937.20,939.355316981019813173,268912,3289,252603917.00,146477,54.47,7.75,-4.55
10-January-2018,945.00,946.75,935.40,941.50,941.520990232745557630,352402,5542,331793880.00,154586,43.87,11.35,-3.50
9-January-2018,929.05,943.95,924.00,940.90,938.230258292634076447,519256,10058,487181691.00,193633,37.29,19.95,11.85
8-January-2018,924.10,930.20,923.60,928.45,926.646028662669368952,332558,5671,308163550.00,186928,56.21,6.60,4.35
5-January-2018,920.50,925.85,919.45,923.00,922.699679851285758545,406686,3944,375249042.00,140413,34.53,6.40,2.50
4-January-2018,919.00,921.80,916.00,920.25,918.934283992265258117,238922,3185,219553617.00,111336,46.60,5.80,1.25
3-January-2018,924.45,927.20,913.30,916.35,920.140624909113823423,515755,6497,474567128.00,218031,42.27,13.90,-8.10
2-January-2018,915.00,919.20,907.25,911.40,915.460503396151500971,1763025,4599,1613979754.00,83984,4.76,11.95,-3.60
1-January-2018,922.00,923.00,909.70,911.55,916.271513872806168072,242669,4561,222350692.00,101598,41.87,13.30,-10.45
